team_id,team_opta_id,name,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
1,993,Malmö FF,MFF,,,,,,,
2,1987,Hammarby,HAM,,,,,,,
3,3056,IK Sirius,IKS,,,,,,,
4,244,IFK Göteborg,GBG,,,,,,,
5,375,IF Elfsborg,IFE,,,,,,,
6,1959,BK Häcken,BKH,,,,,,,
7,1406,Djurgården,DIF,,,,,,,
8,2596,Örebro SK,ÖSK,,,,,,,
9,483,IFK Norrköping,NOR,,,,,,,
10,2594,Kalmar FF,KFF,,,,,,,
11,5576,Östersunds FK,ÖFK,,,,,,,
12,195,AIK,AIK,,,,,,,
13,6810,Varbergs BoIS,VAR,,,,,,,
14,2360,Mjällby AIF,MAIF,,,,,,,
15,466,Halmstads BK,HBK,,,,,,,
16,2961,Degerfors IF,DEG,,,,,,,
17,2598,GIF Sundsvall,SUN,,,,,,,
18,6210,IFK Värnamo,IFKV,,,,,,,
19,217,Helsingborgs IF,HIF,,,,,,,
20,7121,Sandvikens IF,SIF,,,,,,,
21,2352,BP,BP,,,,,,,
22,2945,IK Brage,IKB,,,,,,,
23,13216,IK Oddevold,IKO,,,,,,,
24,1556,Landskrona BoIS,LAN,,,,,,,
25,417,Örgryte IS,ÖIS,,,,,,,
26,1486,Östers IF,ÖIF,,,,,,,
27,20499,Nordic United FC,NUFC,,,,,,,
28,10746,Norrby IF,NIF,,,,,,,
29,6211,Västerås SK,VSK,,,,,,,
30,670,GAIS,GAIS,,,,,,,
31,2595,Ljungskile SK,LSK,,,,,,,
32,2466,Falkenbergs FF,FFF,,,,,,,
