player_id,opta_id,season_name,start_cost,end_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,attacking_bonus,defending_bonus,winning_goals,key_passes,clearances_blocks_interceptions,total_points
253,648174,2024,55,52,734,2,1,3,7,0,0,0,4,0,0,4,0,0,14,43,40
253,648174,2025,55,56,2196,7,4,13,14,0,0,0,2,0,0,11,4,4,32,128,118
