player_id,opta_id,season_name,start_cost,end_cost,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,attacking_bonus,defending_bonus,winning_goals,key_passes,clearances_blocks_interceptions,total_points
277,548961,2022,55,56,1290,4,0,5,14,0,0,0,1,0,0,4,0,1,14,33,54
277,548961,2023,80,77,1359,3,0,3,23,1,0,1,2,0,0,3,1,0,16,58,50
277,548961,2024,70,70,741,1,2,3,11,0,0,0,0,0,0,8,0,0,21,40,41
277,548961,2025,65,67,1065,6,1,3,23,0,0,0,0,0,0,4,1,1,14,46,64
